Date,Open,High,Low,Close,Adj Close,Volume
"9-Oct-15	""6",6374.82,6453.22 ,6374.82 ,6416.16 ,6416.16 ,6416.16 
"12-Oct-15	""6",6416.16,6416.16 ,6351.34 ,6371.18 ,6371.18 ,6371.18 
"13-Oct-15	""6",6371.18,6371.18 ,6303.02 ,6342.28 ,6342.28 ,6342.28 
"14-Oct-15	""6",6342.28,6342.28 ,6268.29 ,6269.61 ,6269.61 ,6269.61 
"15-Oct-15	""6",6269.61,6351.43 ,6269.61 ,6338.67 ,6338.67 ,6338.67 
"16-Oct-15	""6",6338.67,6398.23 ,6338.67 ,6378.04 ,6378.04 ,6378.04 
"19-Oct-15	""6",6378.04,6408.09 ,6336.27 ,6352.33 ,6352.33 ,6352.33 
"20-Oct-15	""6",6352.33,6367.75 ,6319.25 ,6345.13 ,6345.13 ,6345.13 
"21-Oct-15	""6",6345.13,6387.29 ,6316.30 ,6348.42 ,6348.42 ,6348.42 
"22-Oct-15	""6",6348.42,6387.28 ,6321.65 ,6376.28 ,6376.28 ,6376.28 
"23-Oct-15	""6",6376.28,6487.89 ,6376.28 ,6444.08 ,6444.08 ,6444.08 
"26-Oct-15	""6",6444.08,6453.00 ,6405.38 ,6417.02 ,6417.02 ,6417.02 
"27-Oct-15	""6",6417.02,6419.62 ,6365.27 ,6365.27 ,6365.27 ,6365.27 
"28-Oct-15	""6",6365.27,6448.46 ,6355.78 ,6437.80 ,6437.80 ,6437.80 
"29-Oct-15	""6",6437.80,6437.85 ,6358.16 ,6395.80 ,6395.80 ,6395.80 
"30-Oct-15	""6",6395.80,6410.28 ,6337.65 ,6361.09 ,6361.09 ,6361.09 
"2-Nov-15	""6",6361.09,6364.42 ,6317.29 ,6361.80 ,6361.80 ,6361.80 
"3-Nov-15	""6",6361.80,6383.61 ,6344.70 ,6383.61 ,6383.61 ,6383.61 
"4-Nov-15	""6",6383.61,6459.46 ,6383.04 ,6412.88 ,6412.88 ,6412.88 
"5-Nov-15	""6",6412.88,6421.81 ,6358.12 ,6364.90 ,6364.90 ,6364.90 
"6-Nov-15	""6",6364.90,6395.19 ,6332.73 ,6353.83 ,6353.83 ,6353.83 
"9-Nov-15	""6",6353.83,6380.42 ,6292.05 ,6295.16 ,6295.16 ,6295.16 
"10-Nov-15	""6",6295.16,6329.69 ,6250.31 ,6275.28 ,6275.28 ,6275.28 
"11-Nov-15	""6",6275.28,6327.16 ,6272.69 ,6297.20 ,6297.20 ,6297.20 
"12-Nov-15	""6",6297.20,6300.90 ,6178.68 ,6178.68 ,6178.68 ,6178.68 
"13-Nov-15	""6",6178.68,6178.95 ,6088.76 ,6118.28 ,6118.28 ,6118.28 
"16-Nov-15	""6",6118.28,6161.90 ,6079.79 ,6146.38 ,6146.38 ,6146.38 
"17-Nov-15	""6",6146.38,6269.44 ,6146.38 ,6268.76 ,6268.76 ,6268.76 
"18-Nov-15	""6",6268.76,6283.90 ,6228.15 ,6278.97 ,6278.97 ,6278.97 
"19-Nov-15	""6",6278.97,6366.85 ,6278.97 ,6329.93 ,6329.93 ,6329.93 
"20-Nov-15	""6",6329.93,6360.73 ,6311.76 ,6334.63 ,6334.63 ,6334.63 
"23-Nov-15	""6",6334.63,6334.63 ,6267.05 ,6305.49 ,6305.49 ,6305.49 
"24-Nov-15	""6",6305.49,6305.49 ,6221.33 ,6277.23 ,6277.23 ,6277.23 
"25-Nov-15	""6",6277.23,6348.05 ,6277.23 ,6337.64 ,6337.64 ,6337.64 
"26-Nov-15	""6",6337.64,6395.33 ,6333.92 ,6393.13 ,6393.13 ,6393.13 
"27-Nov-15	""6",6393.13,6393.13 ,6345.30 ,6375.15 ,6375.15 ,6375.15 
"30-Nov-15	""6",6375.15,6387.11 ,6329.92 ,6356.09 ,6356.09 ,6356.09 
"1-Dec-15	""6",6356.09,6402.36 ,6356.09 ,6395.65 ,6395.65 ,6395.65 
"2-Dec-15	""6",6395.65,6447.34 ,6395.20 ,6420.93 ,6420.93 ,6420.93 
"3-Dec-15	""6",6420.93,6444.72 ,6275.00 ,6275.00 ,6275.00 ,6275.00 
"4-Dec-15	""6",6275.00,6277.59 ,6219.50 ,6238.29 ,6238.29 ,6238.29 
"7-Dec-15	""6",6238.29,6287.23 ,6215.17 ,6223.52 ,6223.52 ,6223.52 
"8-Dec-15	""6",6223.52,6224.86 ,6120.68 ,6135.22 ,6135.22 ,6135.22 
"9-Dec-15	""6",6135.22,6175.75 ,6101.22 ,6126.68 ,6126.68 ,6126.68 
"10-Dec-15	""6",6126.68,6127.09 ,6079.96 ,6088.05 ,6088.05 ,6088.05 
"11-Dec-15	""6",6088.05,6088.05 ,5949.84 ,5952.78 ,5952.78 ,5952.78 
"14-Dec-15	""5",5952.78,6009.92 ,5871.88 ,5874.06 ,5874.06 ,5874.06 
"15-Dec-15	""5",5874.06,6036.68 ,5874.06 ,6017.79 ,6017.79 ,6017.79 
"16-Dec-15	""6",6017.79,6089.31 ,6016.25 ,6061.19 ,6061.19 ,6061.19 
"17-Dec-15	""6",6061.19,6160.78 ,6061.19 ,6102.54 ,6102.54 ,6102.54 
"18-Dec-15	""6",6102.54,6105.57 ,6051.74 ,6052.42 ,6052.42 ,6052.42 
"21-Dec-15	""6",6052.42,6113.96 ,6034.84 ,6034.84 ,6034.84 ,6034.84 
"22-Dec-15	""6",6034.84,6090.58 ,6031.82 ,6083.10 ,6083.10 ,6083.10 
"23-Dec-15	""6",6083.10,6248.50 ,6083.10 ,6240.98 ,6240.98 ,6240.98 
"24-Dec-15	""6",6240.98,6259.86 ,6236.85 ,6254.64 ,6254.64 ,6254.64 
"29-Dec-15	""6",6254.64,6314.57 ,6245.24 ,6314.57 ,6314.57 ,6314.57 
"30-Dec-15	""6",6314.57,6314.57 ,6261.48 ,6274.05 ,6274.05 ,6274.05 
"31-Dec-15	""6",6274.05,6278.31 ,6233.03 ,6242.32 ,6242.32 ,6242.32 
"4-Jan-16	""6",6242.32,6242.32 ,6071.01 ,6093.43 ,6093.43 ,6093.43 
"5-Jan-16	""6",6093.43,6166.26 ,6079.23 ,6137.24 ,6137.24 ,6137.24 
"6-Jan-16	""6",6137.24,6137.24 ,6018.65 ,6073.38 ,6073.38 ,6073.38 
"7-Jan-16	""6",6073.38,6073.38 ,5887.97 ,5954.08 ,5954.08 ,5954.08 
"8-Jan-16	""5",5954.08,6013.38 ,5912.44 ,5912.44 ,5912.44 ,5912.44 
"11-Jan-16	""5",5912.44,5941.93 ,5871.83 ,5871.83 ,5871.83 ,5871.83 
"12-Jan-16	""5",5871.83,5985.80 ,5866.67 ,5929.24 ,5929.24 ,5929.24 
"13-Jan-16	""5",5929.24,6011.13 ,5929.24 ,5960.97 ,5960.97 ,5960.97 
"14-Jan-16	""5",5960.97,5960.97 ,5829.26 ,5918.23 ,5918.23 ,5918.23 
"15-Jan-16	""5",5918.23,5934.62 ,5769.23 ,5804.10 ,5804.10 ,5804.10 
"18-Jan-16	""5",5804.10,5852.09 ,5766.50 ,5779.92 ,5779.92 ,5779.92 
"19-Jan-16	""5",5779.92,5915.69 ,5779.92 ,5876.80 ,5876.80 ,5876.80 
"20-Jan-16	""5",5876.80,5876.80 ,5639.88 ,5673.58 ,5673.58 ,5673.58 
"21-Jan-16	""5",5673.58,5781.24 ,5659.15 ,5773.79 ,5773.79 ,5773.79 
"22-Jan-16	""5",5773.79,5926.94 ,5773.79 ,5900.01 ,5900.01 ,5900.01 
"25-Jan-16	""5",5900.01,5933.47 ,5851.83 ,5877.00 ,5877.00 ,5877.00 
"26-Jan-16	""5",5877.00,5919.17 ,5771.37 ,5911.46 ,5911.46 ,5911.46 
"27-Jan-16	""5",5911.46,5990.37 ,5870.75 ,5990.37 ,5990.37 ,5990.37 
"28-Jan-16	""5",5990.37,6020.54 ,5889.37 ,5931.78 ,5931.78 ,5931.78 
"29-Jan-16	""5",5931.78,6083.79 ,5931.78 ,6083.79 ,6083.79 ,6083.79 
"1-Feb-16	""6",6083.79,6115.11 ,5993.84 ,6060.10 ,6060.10 ,6060.10 
"2-Feb-16	""6",6060.10,6060.45 ,5889.60 ,5922.01 ,5922.01 ,5922.01 
"3-Feb-16	""5",5922.01,5924.58 ,5791.04 ,5837.14 ,5837.14 ,5837.14 
"4-Feb-16	""5",5837.14,5938.12 ,5831.12 ,5898.76 ,5898.76 ,5898.76 
